"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
           Norwegian , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 45 
           Oromo , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , 5 , -   , 30 , 70 
           Panjabi (Punjabi) , 5 , 15 , 5 , 5 , 10 , 50 , 370 , 25 , 225 , 10 , 45 , 15 , 65 , 400 , 70 , 10 , 5 , 15 ," 3,225 ", 540 , -   , -   ," 5,120 "," 51,410 "
           Pashto , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 35 , -   , 5 , -   , 45 , 280 
           Persian (Farsi) , 35 , 925 , 15 , 70 , 10 , 45 , 25 , 20 , 30 , 65 , 50 , 25 , 20 , 30 , 10 , 15 , 15 , 10 , 30 , 15 , 375 , 65 ," 1,895 "," 11,670 "
           Polish , 5 , 55 , 5 , 25 , 40 , 5 , 40 , -   , 55 , 10 , 15 , 15 , -   , 20 , 10 , -   , 10 , -   , 10 , 10 , 45 , 5 , 390 ," 2,500 "
           Portuguese , 10 , 100 , 5 , 20 , 35 , 35 , 130 , 5 , 25 , 15 , 5 , 10 , 5 , 165 , 20 , -   , 5 , 5 , 25 , 25 , 95 , -   , 750 ," 1,630 "
           Romanian , 10 , 25 , -   , 20 , 5 , -   , 10 , -   , 20 , 10 , 25 , 5 , 10 , -   , -   , -   , -   , -   , -   , -   , 65 , 5 , 220 ," 1,770 "
           Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 10 , 20 
           Russian , 20 , 250 , 15 , 50 , 15 , 10 , 15 , 10 , 50 , 70 , 100 , 35 , 30 , 35 , 15 , 5 , 10 , 5 , 15 , 10 , 180 , 20 , 960 ," 4,860 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
"           Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , 225 
           Serbian , 10 , 220 , 10 , 65 , 15 , 10 , 10 , 10 , 25 , 45 , 25 , 15 , -   , 30 , -   , 5 , 5 , 5 , -   , 5 , 125 , 5 , 640 ," 1,890 "
           Serbo-Croatian , -   , 40 , -   , 15 , 5 , -   , -   , -   , 5 , 5 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , -   , 110 , 270 
           Shanghainese , -   , -   , -   , 5 , -   , 5 , 5 , -   , 15 , 5 , 10 , -   , -   , 15 , -   , -   , -   , -   , 5 , -   , 5 , -   , 85 , 255 
"           Sign languages, n.i.e. ", 5 , -   , -   , -   , 5 , 5 , 5 , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , 50 , 265 
           Sindhi , -   , 10 , -   , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , 25 , 285 
           Sinhala (Sinhalese) , -   , -   , -   , -   , -   , 5 , 10 , -   , -   , -   , -   , 5 , -   , 10 , -   , -   , -   , -   , 5 , -   , -   , -   , 35 , 260 
"           Sino-Tibetan languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 315 
"           Slavic languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 10 , 20 
           Slovak , -   , 15 , -   , 5 , -   , -   , 5 , -   , 5 , 10 , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , 15 , -   , 60 , 420 
           Slovenian , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 25 
           Somali , -   , -   , -   , -   , 5 , -   , 10 , -   , -   , -   , -   , 5 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 35 , 300 
           Spanish , 45 , 345 , 25 , 105 , 170 , 165 , 175 , 10 , 165 , 130 , 45 , 110 , 10 , 235 , 35 , 15 , 30 , 50 , 195 , 110 , 360 , 25 ," 2,560 "," 8,345 "
           Swahili , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , 25 , 95 
           Swedish , -   , 15 , 5 , 5 , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , -   , 55 , 120 
"           Tagalog (Pilipino, Filipino) ", 5 , 45 , 5 , 25 , 85 , 170 , 725 , 10 , 170 , 5 , 180 , 220 , 20 , 860 , 190 , 5 , 5 , 5 , 735 , 375 , 50 , -   ," 3,880 "," 11,720 "
           Taiwanese , 25 , 15 , 35 , 5 , -   , 20 , -   , 30 , 20 , 5 , 55 , -   , 45 , 15 , 20 , 35 , 10 , 5 , 10 , 10 , 10 , 10 , 365 ," 1,350 "
           Tamil , -   , -   , -   , 5 , 15 , -   , 90 , -   , 20 , -   , 15 , 15 , 5 , 60 , 45 , -   , -   , -   , 220 , 40 , 5 , -   , 550 , 965 
           Telugu , -   , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 10 , 5 , -   , -   , -   , 5 , -   , -   , -   , 30 , 125 
           Thai , 5 , 20 , 5 , 5 , 10 , -   , 5 , -   , -   , -   , 5 , 10 , -   , 20 , 10 , 5 , -   , -   , 5 , 5 , 20 , -   , 125 , 295 
           Tibetan languages , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 45 
           Tigrigna , -   , 5 , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , 10 , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 35 , 115 
           Turkish , 10 , 55 , -   , 10 , -   , 5 , -   , 5 , 15 , 15 , 5 , -   , 5 , 10 , -   , -   , 5 , -   , 5 , -   , 60 , 5 , 195 , 655 
           Ukrainian , -   , 5 , -   , 5 , -   , -   , 5 , -   , 5 , 5 , 10 , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , 10 , 5 , 65 , 315 
           Urdu , -   , 20 , -   , 5 , 15 , 20 , 10 , -   , 5 , 5 , 10 , -   , -   , 10 , -   , -   , -   , -   , 95 , 15 , 5 , -   , 195 ," 2,510 "
           Vietnamese , -   , 25 , -   , 5 , 160 , 480 , 880 , 5 , 210 , 5 , 35 , 155 , 10 , 680 , 85 , 5 , 5 , 125 , 280 , 350 , 15 , -   ," 3,525 "," 7,010 "
           Yiddish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
         Other languages , 5 , 35 , 5 , 10 , 20 , 10 , 35 , -   , 20 , 10 , 15 , 10 , -   , 40 , 10 , -   , -   , 10 , 40 , 35 , 45 , -   , 365 ," 1,120 "
     Multiple responses , 300 ," 1,025 ", 285 , 360 , 475 ," 1,130 "," 1,830 ", 290 ," 1,050 ", 385 , 755 , 535 , 370 ," 2,475 ", 575 , 150 , 120 , 200 ," 2,055 "," 1,370 ", 725 , 145 ," 16,600 "," 63,970 "
       English and French , 5 , 55 , 10 , 25 , 25 , 20 , 40 , 5 , 20 , 50 , 25 , 30 , 5 , 25 , 15 , 5 , 10 , 15 , 15 , 15 , 65 , 10 , 475 ," 1,260 "
       English and non-official language , 290 , 945 , 270 , 315 , 440 ," 1,090 "," 1,770 ", 280 ," 1,010 ", 320 , 715 , 490 , 365 ," 2,435 ", 550 , 140 , 110 , 180 ," 2,030 "," 1,340 ", 615 , 135 ," 15,805 "," 61,585 "
       French and non-official language , -   , 10 , 5 , 5 , 5 , 10 , 5 , -   , 10 , 5 , 5 , 10 , -   , 15 , 5 , -   , -   , 5 , 5 , 5 , 25 , 5 , 130 , 350 
"       English, French and non-official language ", 5 , 20 , -   , 15 , 10 , 10 , 25 , 5 , 15 , 10 , 15 , 5 , 5 , 15 , 5 , -   , -   , 5 , 5 , 15 , 20 , 5 , 195 , 770 
   Detailed language spoken most often at home - Females excluding institutional residents ," 8,530 "," 24,650 "," 11,160 "," 17,025 "," 13,945 "," 17,165 "," 24,095 "," 7,835 "," 14,885 "," 21,945 "," 11,965 "," 13,340 "," 6,640 "," 25,725 "," 11,360 "," 4,445 "," 3,900 "," 4,695 "," 18,350 "," 15,585 "," 21,090 "," 6,705 "," 304,215 "," 1,170,805 "
     Single responses ," 8,105 "," 23,580 "," 10,790 "," 16,540 "," 13,440 "," 15,885 "," 22,110 "," 7,510 "," 13,710 "," 21,460 "," 10,995 "," 12,700 "," 6,160 "," 22,945 "," 10,690 "," 4,270 "," 3,755 "," 4,525 "," 16,125 "," 14,100 "," 20,320 "," 6,515 "," 285,445 "," 1,101,345 "
       English ," 4,900 "," 17,195 "," 8,890 "," 14,590 "," 11,030 "," 9,200 "," 12,455 "," 5,240 "," 7,895 "," 19,480 "," 6,065 "," 10,645 "," 3,060 "," 10,810 "," 8,025 "," 3,195 "," 2,950 "," 2,435 "," 7,210 "," 6,130 "," 16,445 "," 5,370 "," 192,485 "," 790,140 "
       French , 35 , 200 , 50 , 175 , 100 , 70 , 120 , 35 , 40 , 265 , 50 , 100 , 15 , 55 , 55 , 15 , 35 , 20 , 25 , 15 , 270 , 75 ," 1,825 "," 4,385 "
       Non-official languages ," 3,175 "," 6,180 "," 1,850 "," 1,780 "," 2,310 "," 6,615 "," 9,535 "," 2,235 "," 5,775 "," 1,715 "," 4,880 "," 1,960 "," 3,085 "," 12,080 "," 2,605 "," 1,050 ", 770 ," 2,070 "," 8,890 "," 7,955 "," 3,610 "," 1,065 "," 91,125 "," 306,820 "
         Selected Aboriginal languages , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 , 25 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 10 , 20 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Ojibway , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Selected non-Aboriginal languages ," 3,170 "," 6,155 "," 1,845 "," 1,770 "," 2,285 "," 6,595 "," 9,500 "," 2,230 "," 5,755 "," 1,705 "," 4,870 "," 1,940 "," 3,085 "," 12,045 "," 2,595 "," 1,050 ", 775 ," 2,060 "," 8,855 "," 7,920 "," 3,575 "," 1,065 "," 90,790 "," 305,700 "
"           African languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 85 
           Afrikaans , -   , 5 , 5 , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 30 , 260 
           Akan (Twi) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , 60 
           Albanian , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 255 
           Amharic , -   , 5 , -   , -   , 5 , -   , 5 , -   , 15 , -   , 5 , 5 , -   , -   , -   , -   , -   , 5 , 5 , 15 , 10 , -   , 70 , 275 
           Arabic , -   , 305 , -   , 30 , 10 , 10 , 20 , -   , 40 , 10 , 30 , 25 , 15 , 20 , 5 , 5 , 5 , -   , 25 , 15 , 140 , -   , 710 ," 3,090 "
           Armenian , 5 , 10 , 5 , 5 , 5 , 5 , -   , -   , -   , 5 , 5 , -   , 5 , -   , 5 , -   , -   , -   , 5 , -   , -   , 5 , 40 , 210 
"           Bantu languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 
           Bengali , -   , 5 , -   , 5 , -   , 5 , 20 , -   , 10 , 5 , 15 , 45 , 5 , 20 , 5 , -   , -   , 5 , 95 , 30 , 5 , 5 , 275 , 665 
           Berber languages (Kabyle) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Bisayan languages , -   , -   , -   , 5 , 5 , 10 , 40 , -   , 25 , -   , 15 , 20 , -   , 35 , 10 , -   , -   , -   , 15 , 20 , 5 , -   , 205 , 630 
           Bosnian , -   , 10 , -   , 5 , 5 , -   , -   , -   , 5 , 5 , -   , -   , 5 , 10 , -   , -   , -   , -   , -   , -   , 5 , 5 , 50 , 305 
           Bulgarian , -   , 40 , -   , 15 , -   , 5 , 5 , -   , -   , 5 , 10 , 10 , 5 , -   , -   , -   , -   , -   , -   , -   , 30 , -   , 120 , 505 
           Burmese , -   , -   , -   , -   , -   , 15 , 35 , -   , 10 , -   , -   , 10 , -   , 25 , -   , -   , -   , -   , 15 , -   , -   , -   , 105 , 260 
           Cantonese , 615 , 710 , 370 , 275 , 710 ," 3,005 "," 3,555 ", 515 ," 2,135 ", 160 ," 1,360 ", 305 , 930 ," 4,445 ", 860 , 215 , 185 ," 1,005 "," 1,530 "," 3,620 ", 130 , 130 ," 26,765 "," 54,480 "
"           Chinese, n.o.s. ", 810 , 765 , 485 , 240 , 420 ," 1,430 "," 1,750 ", 570 ," 1,095 ", 220 ," 1,155 ", 205 , 780 ," 2,290 ", 475 , 280 , 150 , 535 , 815 ," 1,685 ", 205 , 230 ," 16,580 "," 40,940 "
           Creoles , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 30 , 150 
           Croatian , -   , 25 , 5 , 15 , 15 , 35 , 15 , -   , 5 , 5 , 5 , 5 , 10 , 40 , 5 , -   , 5 , 5 , 5 , 20 , 20 , -   , 250 ," 1,085 "
           Czech , 5 , 5 , -   , 15 , 5 , -   , -   , -   , -   , 5 , 10 , 10 , 5 , -   , 5 , -   , -   , -   , -   , 5 , 30 , -   , 90 , 495 
           Danish , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 95 
           Dutch , -   , 10 , 5 , 10 , -   , 5 , -   , -   , -   , 10 , 5 , -   , 5 , -   , 10 , 5 , -   , 5 , 5 , -   , 10 , 5 , 75 , 390 
           Estonian , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 65 
           Finnish , -   , 5 , 5 , 5 , -   , 10 , 5 , -   , 10 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , 60 , 260 
           Flemish , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
           Fukien , -   , -   , -   , -   , 5 , 5 , 15 , 10 , 5 , -   , 10 , -   , -   , 20 , 10 , -   , 5 , -   , 5 , -   , -   , -   , 95 , 370 
           German , 15 , 60 , 35 , 35 , 20 , 5 , 30 , 10 , 15 , 75 , 5 , 20 , -   , 20 , 10 , -   , 10 , 5 , 80 , 20 , 60 , 25 , 575 ," 1,855 "
           Greek , 75 , 10 , 25 , 15 , 10 , 15 , 30 , 10 , 15 , 160 , 10 , 15 , 5 , 25 , 35 , 5 , 5 , -   , 10 , 10 , 10 , 15 , 510 , 915 
           Gujarati , -   , 25 , -   , 10 , 5 , 10 , 25 , -   , 35 , 5 , 5 , 5 , 5 , 50 , 5 , -   , 5 , 5 , 70 , 10 , 25 , 5 , 280 ," 1,640 "
           Hakka , -   , -   , -   , -   , -   , 10 , 5 , -   , -   , -   , -   , 5 , -   , 20 , -   , -   , -   , -   , 10 , 5 , -   , -   , 60 , 170 
           Hebrew , 5 , 25 , 10 , 15 , -   , 5 , -   , 10 , -   , 15 , 20 , 5 , 10 , 5 , 15 , 5 , 15 , -   , 5 , -   , 5 , 5 , 170 , 355 
           Hindi , 5 , 15 , 10 , -   , 5 , 40 , 150 , 5 , 55 , 5 , 10 , 15 , 10 , 230 , 50 , -   , 5 , 5 , 260 , 125 , 25 , 5 ," 1,010 "," 6,130 "
           Hungarian , -   , 10 , 10 , 10 , 5 , 5 , 5 , -   , 15 , 20 , 20 , 5 , 5 , 15 , 15 , -   , 5 , -   , 5 , 15 , 25 , -   , 185 , 930 
           Ilocano , -   , 5 , -   , -   , 5 , 15 , 65 , -   , 10 , -   , 15 , 20 , -   , 60 , 15 , -   , -   , -   , 60 , 10 , -   , -   , 290 , 600 
"           Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 70 
           Italian , 5 , 15 , 10 , 15 , 165 , 400 , 120 , 5 , 35 , 25 , 10 , 5 , 5 , 195 , 25 , 5 , 5 , 10 , 20 , 60 , 25 , 5 ," 1,150 "," 2,550 "
           Japanese , 55 , 320 , 55 , 145 , 40 , 80 , 80 , 45 , 60 , 115 , 105 , 75 , 40 , 165 , 45 , 25 , 30 , 5 , 45 , 50 , 505 , 30 ," 2,115 "," 4,735 "
           Khmer (Cambodian) , -   , -   , -   , 5 , 5 , 5 , 20 , -   , 5 , -   , 5 , 5 , -   , 15 , 5 , -   , -   , 5 , 10 , 10 , -   , -   , 90 , 295 
           Korean , 225 , 755 , 75 , 100 , 55 , 15 , 75 , 155 , 190 , 100 , 95 , 120 , 130 , 175 , 15 , 20 , 35 , 5 , 45 , 40 , 550 , 65 ," 3,035 "," 18,755 "
           Kurdish , -   , 10 , -   , -   , 5 , 10 , 10 , -   , 25 , 5 , 5 , 5 , -   , 5 , -   , -   , -   , 10 , 10 , 10 , 5 , 5 , 110 , 445 
           Lao , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 210 
           Latvian , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 20 , 40 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Lithuanian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 10 , 25 
           Macedonian , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 55 
           Malay , 10 , 30 , -   , 5 , 5 , 5 , 5 , -   , 15 , 5 , 10 , -   , 15 , 45 , -   , -   , 5 , -   , 5 , 10 , 15 , 5 , 185 , 630 
           Malayalam , -   , -   , -   , 5 , -   , -   , 5 , -   , 15 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 70 , 5 , -   , 5 , 100 , 300 
           Maltese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Mandarin ," 1,110 ", 645 , 555 , 235 , 130 , 245 , 445 , 740 , 580 , 245 ," 1,135 ", 85 , 790 , 920 , 260 , 365 , 165 , 200 , 300 , 425 , 220 , 355 ," 10,140 "," 39,710 "
           Marathi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 100 
           Nepali , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 10 , 5 , -   , -   , 35 , 220 
"           Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 60 
           Norwegian , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 40 
           Oromo , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , 15 , 70 
           Panjabi (Punjabi) , 5 , 15 , 5 , 5 , 10 , 55 , 395 , 25 , 255 , 10 , 55 , 20 , 65 , 435 , 70 , 10 , 10 , 5 ," 3,335 ", 570 , 5 , 5 ," 5,375 "," 52,490 "
           Pashto , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 35 , -   , -   , -   , 45 , 260 
           Persian (Farsi) , 40 , 955 , 20 , 80 , 15 , 40 , 15 , 25 , 35 , 75 , 60 , 10 , 25 , 30 , 15 , 20 , 15 , 5 , 40 , 20 , 395 , 50 ," 1,980 "," 12,220 "
           Polish , 10 , 65 , 5 , 30 , 35 , 10 , 45 , 5 , 75 , 15 , 15 , 35 , 10 , 30 , 15 , 5 , 10 , -   , 15 , 5 , 40 , 5 , 470 ," 2,685 "
           Portuguese , 15 , 75 , 10 , 15 , 35 , 40 , 150 , -   , 30 , 15 , 10 , 15 , -   , 195 , 25 , -   , 5 , 5 , 35 , 35 , 85 , 5 , 800 ," 1,810 "
           Romanian , 5 , 30 , -   , 25 , 5 , -   , 10 , -   , 15 , 15 , 20 , 10 , 10 , 5 , -   , -   , -   , -   , -   , -   , 65 , -   , 225 ," 1,805 "
           Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , 15 , 45 
           Russian , 20 , 300 , 15 , 65 , 20 , 15 , 20 , 5 , 75 , 80 , 105 , 35 , 40 , 40 , 20 , 10 , 10 , 5 , 15 , 10 , 225 , 20 ," 1,130 "," 5,190 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 15 
"           Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 235 
           Serbian , 10 , 235 , 10 , 75 , 10 , 15 , 10 , 10 , 35 , 45 , 25 , 20 , -   , 35 , 5 , 5 , 5 , -   , -   , 5 , 130 , -   , 685 ," 1,865 "
           Serbo-Croatian , -   , 45 , 5 , 25 , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , 30 , -   , 125 , 280 
           Shanghainese , 5 , 5 , -   , 5 , 5 , 10 , 5 , -   , 15 , 5 , 10 , -   , 5 , 20 , 5 , -   , -   , -   , 10 , -   , -   , -   , 105 , 290 
"           Sign languages, n.i.e. ", 5 , -   , -   , 5 , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , 5 , 5 , 5 , -   , -   , 40 , 205 
           Sindhi , -   , 10 , -   , 10 , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 45 , 375 
           Sinhala (Sinhalese) , -   , 5 , -   , -   , -   , 5 , 10 , -   , -   , -   , -   , 5 , -   , 5 , 5 , -   , -   , -   , 5 , -   , -   , -   , 35 , 265 
"           Sino-Tibetan languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 30 , 300 
"           Slavic languages, n.i.e. ", -   , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 15 , 35 
           Slovak , -   , 15 , -   , 5 , 5 , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 20 , -   , 65 , 460 
           Slovenian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , 40 
           Somali , -   , -   , -   , -   , -   , 5 , 10 , -   , -   , -   , -   , 5 , -   , 10 , -   , -   , -   , -   , 5 , -   , -   , -   , 35 , 305 
           Spanish , 30 , 340 , 25 , 120 , 160 , 205 , 195 , 15 , 200 , 145 , 50 , 125 , 30 , 240 , 40 , 15 , 35 , 40 , 210 , 140 , 295 , 30 ," 2,680 "," 8,760 "
           Swahili , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 105 
           Swedish , -   , 10 , 5 , 5 , -   , -   , -   , 5 , -   , 5 , -   , 5 , -   , -   , 5 , 5 , -   , 5 , -   , -   , 10 , 5 , 60 , 135 
