"""Date/Time""","""Year""","""Month""","""Day""","""Data Quality""","""Max Temp (°C)""","""Max Temp Flag""","""Min Temp (°C)""","""Min Temp Flag""","""Mean Temp (°C)""","""Mean Temp Flag""","""Heat Deg Days (°C)""","""Heat Deg Days Flag""","""Cool Deg Days (°C)""","""Cool Deg Days Flag""","""Total Rain (mm)""","""Total Rain Flag""","""Total Snow (cm)""","""Total Snow Flag""","""Total Precip (mm)""","""Total Precip Flag""","""Snow on Grnd (cm)""","""Snow on Grnd Flag""","""Dir of Max Gust (10s deg)""","""Dir of Max Gust Flag""","""Spd of Max Gust (km/h)""","""Spd of Max Gust Flag"""
"""2014-03-30""","""2014""","""03""","""30""","""†""","""12.0""","""""","""4.8""","""""","""8.4""","""""","""9.6""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.7""","""""","""""","""""","""17""","""""","""33""",""""""
"""2014-03-31""","""2014""","""03""","""31""","""†""","""11.4""","""""","""2.5""","""""","""7.0""","""""","""11.0""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-01""","""2014""","""04""","""01""","""†""","""12.0""","""""","""2.3""","""""","""7.2""","""""","""10.8""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-02""","""2014""","""04""","""02""","""†""","""13.6""","""""","""3.0""","""""","""8.3""","""""","""9.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-03""","""2014""","""04""","""03""","""†""","""10.7""","""""","""6.8""","""""","""8.8""","""""","""9.2""","""""","""0.0""","""""","""""","""M""","""""","""M""","""5.6""","""""","""""","""""","""7""","""""","""32""",""""""
"""2014-04-04""","""2014""","""04""","""04""","""†""","""13.1""","""""","""7.4""","""""","""10.3""","""""","""7.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.2""","""""","""""","""""","""16""","""""","""33""",""""""
"""2014-04-05""","""2014""","""04""","""05""","""†""","""10.0""","""""","""4.3""","""""","""7.2""","""""","""10.8""","""""","""0.0""","""""","""""","""M""","""""","""M""","""4.4""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-06""","""2014""","""04""","""06""","""†""","""12.3""","""""","""7.1""","""""","""9.7""","""""","""8.3""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-07""","""2014""","""04""","""07""","""†""","""15.9""","""""","""8.6""","""""","""12.3""","""""","""5.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""1.9""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-08""","""2014""","""04""","""08""","""†""","""15.3""","""""","""9.6""","""""","""12.5""","""""","""5.5""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.2""","""""","""""","""""","""29""","""""","""35""",""""""
"""2014-04-09""","""2014""","""04""","""09""","""†""","""12.0""","""""","""7.7""","""""","""9.9""","""""","""8.1""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""27""","""""","""41""",""""""
"""2014-04-10""","""2014""","""04""","""10""","""†""","""12.4""","""""","""4.1""","""""","""8.3""","""""","""9.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-11""","""2014""","""04""","""11""","""†""","""15.5""","""""","""7.8""","""""","""11.7""","""""","""6.3""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-12""","""2014""","""04""","""12""","""†""","""13.5""","""""","""5.5""","""""","""9.5""","""""","""8.5""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-04-13""","""2014""","""04""","""13""","""†""","""15.9""","""""","""4.3""","""""","""10.1""","""""","""7.9""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
